Município;População_residente
316555 Setubinha;11126
316730 Silveirânia;2201
316740 Silvianópolis;6053
316750 Simão Pereira;2546
316760 Simonésia;18513
316770 Sobrália;5762
316780 Soledade de Minas;5755
316790 Tabuleiro;4005
316800 Taiobeiras;31457
316805 Taparuba;3124
316810 Tapira;4231
316820 Tapiraí;1869
316830 Taquaraçu de Minas;3840
316840 Tarumirim;14264
316850 Teixeiras;11387
316860 Teófilo Otoni;135549
316870 Timóteo;82718
316880 Tiradentes;7143
316890 Tiros;6806
316900 Tocantins;15947
316905 Tocos do Moji;3970
316910 Toledo;5846
316920 Tombos;9218
316930 Três Corações;73894
316935 Três Marias;29036
316940 Três Pontas;54289
316950 Tumiritinga;6363
316960 Tupaciguara;24350
316970 Turmalina;18383
316980 Turvolândia;4721
316990 Ubá;104004
317000 Ubaí;11818
317005 Ubaporanga;12095
317010 Uberaba;302623
317020 Uberlândia;619536
317030 Umburatiba;2680
317040 Unaí;78703
317043 União de Minas;4385
317047 Uruana de Minas;3231
317050 Urucânia;10279
317052 Urucuia;14207
317057 Vargem Alegre;6449
317060 Vargem Bonita;2156
317065 Vargem Grande do Rio Pardo;4775
317070 Varginha;125208
317075 Varjão de Minas;6259
317080 Várzea da Palma;36439
317090 Varzelândia;19108
317100 Vazante;19844
317103 Verdelândia;8523
317107 Veredinha;5569
317110 Veríssimo;3575
317115 Vermelho Novo;4707
317120 Vespasiano;108771
317130 Viçosa;73333
317140 Vieiras;3698
317160 Virgem da Lapa;13611
317170 Virgínia;8612
317180 Virginópolis;10534
317190 Virgolândia;5590
317200 Visconde do Rio Branco;38749
317210 Volta Grande;5093
317220 Wenceslau Braz;2547
320010 Afonso Cláudio;30919
320016 Água Doce do Norte;11624
320013 Águia Branca;9507
320020 Alegre;30626
320030 Alfredo Chaves;14007
320035 Alto Rio Novo;7371
320040 Anchieta;24616
320050 Apiacá;7497
320060 Aracruz;84429
320070 Atilio Vivacqua;10080
320080 Baixo Guandu;29272
320090 Barra de São Francisco;41110
320100 Boa Esperança;14278
320110 Bom Jesus do Norte;9514
320115 Brejetuba;11950
320120 Cachoeiro de Itapemirim;192156
320130 Cariacica;352431
320140 Castelo;35048
320150 Colatina;113054
320160 Conceição da Barra;28745
320170 Conceição do Castelo;11798
320180 Divino de São Lourenço;4471
320190 Domingos Martins;32042
320200 Dores do Rio Preto;6429
320210 Ecoporanga;23097
320220 Fundão;17632
320225 Governador Lindenberg;11106
320230 Guaçuí;28208
320240 Guarapari;107836
320245 Ibatiba;22843
320250 Ibiraçu;11335
320255 Ibitirama;8919
320260 Iconha;12681
320265 Irupi;11930
320270 Itaguaçu;14080
320280 Itapemirim;31421
320290 Itarana;10799
320300 Iúna;27512
320305 Jaguaré;25454
320310 Jerônimo Monteiro;10984
320313 João Neiva;15886
320316 Laranja da Terra;10810
320320 Linhares;145639
320330 Mantenópolis;13826
320332 Marataízes;34675
320334 Marechal Floriano;14576
320335 Marilândia;11286
320340 Mimoso do Sul;25858
320350 Montanha;17938
320360 Mucurici;5619
320370 Muniz Freire;18202
320380 Muqui;14506
320390 Nova Venécia;46487
320400 Pancas;21722
320405 Pedro Canário;24071
320410 Pinheiros;24284
320420 Piúma;18597
320425 Ponto Belo;7088
320430 Presidente Kennedy;10429
320435 Rio Bananal;17713
320440 Rio Novo do Sul;11334
320450 Santa Leopoldina;12207
320455 Santa Maria de Jetibá;34992
320460 Santa Teresa;22005
320465 São Domingos do Norte;8070
320470 São Gabriel da Palha;32655
320480 São José do Calçado;10397
320490 São Mateus;111832
320495 São Roque do Canaã;11406
320500 Serra;422569
320501 Sooretama;24685
320503 Vargem Alta;19395
320506 Venda Nova do Imigrante;21094
320510 Viana;66745
320515 Vila Pavão;8724
320517 Vila Valério;13824
320520 Vila Velha;424948
320530 Vitória;333162
330010 Angra dos Reis;177101
330015 Aperibé;10545
330020 Araruama;116418
330022 Areal;11654
330023 Armação dos Búzios;28973
330025 Arraial do Cabo;28295
330030 Barra do Piraí;95726
330040 Barra Mansa;178880
330045 Belford Roxo;474596
330050 Bom Jardim;25738
330060 Bom Jesus do Itabapoana;35677
330070 Cabo Frio;195197
330080 Cachoeiras de Macacu;55139
330090 Cambuci;14851
330100 Campos dos Goytacazes;472300
330110 Cantagalo;19830
330093 Carapebus;14024
330115 Cardoso Moreira;12601
330120 Carmo;17758
330130 Casimiro de Abreu;37340
330095 Comendador Levy Gasparian;8219
330140 Conceição de Macabu;21613
330150 Cordeiro;20707
330160 Duas Barras;11020
330170 Duque de Caxias;867067
330180 Engenheiro Paulo de Frontin;13408
330185 Guapimirim;53527
330187 Iguaba Grande;24079
330190 Itaboraí;222618
330200 Itaguaí;113182
330205 Italva;14281
330210 Itaocara;22884
330220 Itaperuna;97219
330225 Itatiaia;29394
330227 Japeri;97337
330230 Laje do Muriaé;7424
330240 Macaé;217951
330245 Macuco;5327
330250 Magé;230568
330260 Mangaratiba;38201
330270 Maricá;135121
330280 Mendes;18024
330285 Mesquita;169537
330290 Miguel Pereira;24754
330300 Miracema;26810
330310 Natividade;15076
330320 Nilópolis;157986
330330 Niterói;491807
330340 Nova Friburgo;183391
330350 Nova Iguaçu;801746
330360 Paracambi;48129
330370 Paraíba do Sul;41639
330380 Paraty;38740
330385 Paty do Alferes;26575
330390 Petrópolis;297192
330395 Pinheiral;23208
330400 Piraí;26948
330410 Porciúncula;18034
330411 Porto Real;17272
330412 Quatis;13105
330414 Queimados;140374
330415 Quissamã;21234
330420 Resende;122068
330430 Rio Bonito;56436
330440 Rio Claro;17606
330450 Rio das Flores;8703
330452 Rio das Ostras;116134
330455 Rio de Janeiro;6390290
330460 Santa Maria Madalena;10298
330470 Santo Antônio de Pádua;40876
330480 São Fidélis;37657
330475 São Francisco de Itabapoana;41386
330490 São Gonçalo;1016128
330500 São João da Barra;33512
330510 São João de Meriti;460062
330513 São José de Ubá;7093
330515 São José do Vale do Rio Preto;20540
330520 São Pedro da Aldeia;91542
330530 São Sebastião do Alto;8970
330540 Sapucaia;17581
330550 Saquarema;77522
330555 Seropédica;80138
330560 Silva Jardim;21362
330570 Sumidouro;15010
330575 Tanguá;31438
330580 Teresópolis;167622
330590 Trajano de Moraes;10327
330600 Três Rios;78256
330610 Valença;72679
330615 Varre-Sai;9720
330620 Vassouras;34858
330630 Volta Redonda;260180
350010 Adamantina;33843
350020 Adolfo;3538
350030 Aguaí;32745
350040 Águas da Prata;7653
350050 Águas de Lindóia;17438
350055 Águas de Santa Bárbara;5658
350060 Águas de São Pedro;2832
350070 Agudos;34833
350075 Alambari;5071
350080 Alfredo Marcondes;3921
350090 Altair;3859
350100 Altinópolis;15627
350110 Alto Alegre;4078
350115 Alumínio;17079
350120 Álvares Florence;3834
350130 Álvares Machado;23642
350140 Álvaro de Carvalho;4732
350150 Alvinlândia;3025
350160 Americana;214873
350170 Américo Brasiliense;35413
350180 Américo de Campos;5723
350190 Amparo;66649
350200 Analândia;4401
350210 Andradina;55361
350220 Angatuba;22650
350230 Anhembi;5822
350240 Anhumas;3788
350250 Aparecida;35023
350260 Aparecida d'Oeste;4377
350270 Apiaí;24894
350275 Araçariguama;17975
350280 Araçatuba;183441
350290 Araçoiaba da Serra;28429
350300 Aramina;5211
350310 Arandu;6132
350315 Arapeí;2475
350320 Araraquara;212617
350330 Araras;121055
350335 Arco-Íris;1890
350340 Arealva;7932
350350 Areias;3711
350360 Areiópolis;10622
350370 Ariranha;8709
350380 Artur Nogueira;45847
350390 Arujá;77279
350395 Aspásia;1802
350400 Assis;96336
350410 Atibaia;128914
350420 Auriflama;14307
350430 Avaí;5014
350440 Avanhandava;11685
350450 Avaré;83910
350460 Bady Bassitt;15065
350470 Balbinos;4063
350480 Bálsamo;8284
350490 Bananal;10301
350500 Barão de Antonina;3165
350510 Barbosa;6708
350520 Bariri;32102
350530 Barra Bonita;35210
350535 Barra do Chapéu;5305
350540 Barra do Turvo;7672
350550 Barretos;113338
350560 Barrinha;29144
350570 Barueri;245652
350580 Bastos;20424
350590 Batatais;57286
350600 Bauru;348146
350610 Bebedouro;75069
350620 Bento de Abreu;2717
350630 Bernardino de Campos;10784
350635 Bertioga;50304
350640 Bilac;7193
350650 Birigui;110907
350660 Biritiba-Mirim;29168
350670 Boa Esperança do Sul;13807
350680 Bocaina;11073
350690 Bofete;9960
350700 Boituva;50420
350710 Bom Jesus dos Perdões;20674
350715 Bom Sucesso de Itararé;3623
350720 Borá;807
350730 Boracéia;4348
350740 Borborema;14731
350745 Borebi;2348
350750 Botucatu;130201
350760 Bragança Paulista;150023
350770 Braúna;5118
350775 Brejo Alegre;2614
350780 Brodowski;21707
350790 Brotas;21987
350800 Buri;18705
350810 Buritama;15655
350820 Buritizal;4111
350830 Cabrália Paulista;4322
350840 Cabreúva;42889
350850 Caçapava;86054
350860 Cachoeira Paulista;30527
350870 Caconde;18563
350880 Cafelândia;16730
350890 Caiabu;4072
350900 Caieiras;88841
350910 Caiuá;5167
350920 Cajamar;66131
350925 Cajati;28243
350930 Cajobi;9858
350940 Cajuru;23763
350945 Campina do Monte Alegre;5622
350950 Campinas;1098630
350960 Campo Limpo Paulista;75637
350970 Campos do Jordão;48324
350980 Campos Novos Paulista;4594
350990 Cananéia;12216
350995 Canas;4502
351000 Cândido Mota;29976
351010 Cândido Rodrigues;2677
351015 Canitar;4504
351020 Capão Bonito;46095
351030 Capela do Alto;18029
351040 Capivari;49650
351050 Caraguatatuba;104150
351060 Carapicuíba;373358
351070 Cardoso;11836
351080 Casa Branca;28535
351090 Cássia dos Coqueiros;2599
351100 Castilho;18465
351110 Catanduva;113873
351120 Catiguá;7214
351130 Cedral;8165
351140 Cerqueira César;17893
351150 Cerquilho;41144
351160 Cesário Lange;15942
351170 Charqueada;15395
355720 Chavantes;12102
351190 Clementina;7316
351200 Colina;17478
351210 Colômbia;6001
351220 Conchal;25615
351230 Conchas;16497
351240 Cordeirópolis;21607
351250 Coroados;5362
351260 Coronel Macedo;4913
351270 Corumbataí;3887
351280 Cosmópolis;61013
351290 Cosmorama;7191
351300 Cotia;209027
351310 Cravinhos;32187
351320 Cristais Paulista;7741
351330 Cruzália;2224
351340 Cruzeiro;77575
351350 Cubatão;120293
351360 Cunha;21682
351370 Descalvado;31379
351380 Diadema;390980
351385 Dirce Reis;1699
351390 Divinolândia;11086
351400 Dobrada;8080
351410 Dois Córregos;25100
351420 Dolcinópolis;2088
351430 Dourado;8610
351440 Dracena;43675
351450 Duartina;12218
351460 Dumont;8421
351470 Echaporã;6242
351480 Eldorado;14718
351490 Elias Fausto;16060
351492 Elisiário;3202
351495 Embaúba;2415
351500 Embu das Artes;245148
351510 Embu-Guaçu;63653
351512 Emilianópolis;3040
351515 Engenheiro Coelho;16580
351518 Espírito Santo do Pinhal;42123
351519 Espírito Santo do Turvo;4330
355730 Estiva Gerbi;10224
351520 Estrela d'Oeste;8201
351530 Estrela do Norte;2663
351535 Euclides da Cunha Paulista;9491
351540 Fartura;15367
351560 Fernando Prestes;5550
351550 Fernandópolis;65157
351565 Fernão;1583
351570 Ferraz de Vasconcelos;172222
351580 Flora Rica;1688
351590 Floreal;2970
351600 Flórida Paulista;13112
351610 Florínia;2785
351620 Franca;323307
351630 Francisco Morato;157603
351640 Franco da Rocha;135150
351650 Gabriel Monteiro;2706
351660 Gália;6884
351670 Garça;43108
351680 Gastão Vidigal;4285
351685 Gavião Peixoto;4464
351690 General Salgado;10646
351700 Getulina;10825
351710 Glicério;4586
351720 Guaiçara;10891
351730 Guaimbê;5458
351740 Guaíra;37826
351750 Guapiaçu;18441
351760 Guapiara;17738
351770 Guará;20001
351780 Guaraçaí;8366
351790 Guaraci;10147
351800 Guarani d'Oeste;1965
351810 Guarantã;6417
351820 Guararapes;30862
351830 Guararema;26439
351840 Guaratinguetá;113258
351850 Guareí;15225
351860 Guariba;36151
351870 Guarujá;294669
351880 Guarulhos;1244518
351885 Guatapará;7056
351890 Guzolândia;4824
351900 Herculândia;8803
351905 Holambra;11917
351907 Hortolândia;198758
351910 Iacanga;10275
351920 Iacri;6365
351925 Iaras;6878
351930 Ibaté;31380
351940 Ibirá;11115
351950 Ibirarema;6880
351960 Ibitinga;54146
351970 Ibiúna;72249
351980 Icém;7567
351990 Iepê;7685
352000 Igaraçu do Tietê;23475
352010 Igarapava;28259
352020 Igaratá;8913
352030 Iguape;29055
352042 Ilha Comprida;9376
352044 Ilha Solteira;25226
352040 Ilhabela;29308
352050 Indaiatuba;209859
352060 Indiana;4809
352070 Indiaporã;3880
352080 Inúbia Paulista;3678
352090 Ipaussu;13831
352100 Iperó;29798
352110 Ipeúna;6270
352115 Ipiguá;4613
352120 Iporanga;4260
352130 Ipuã;14492
352140 Iracemápolis;20705
352150 Irapuã;7369
352160 Irapuru;7840
352170 Itaberá;17699
352180 Itaí;24457
352190 Itajobi;14606
352200 Itaju;3338
352210 Itanhaém;89332
352215 Itaóca;3229
352220 Itapecerica da Serra;156077
352230 Itapetininga;147219
352240 Itapeva;88491
352250 Itapevi;206558
352260 Itapira;69317
352265 Itapirapuã Paulista;3926
352270 Itápolis;40399
352280 Itaporanga;14579
352290 Itapuí;12446
352300 Itapura;4436
352310 Itaquaquecetuba;329144
352320 Itararé;48143
352330 Itariri;15752
352340 Itatiba;104533
352350 Itatinga;18446
352360 Itirapina;15930
352370 Itirapuã;5990
352380 Itobi;7559
352390 Itu;156983
352400 Itupeva;47682
352410 Ituverava;39062
352420 Jaborandi;6618
352430 Jaboticabal;72305
352440 Jacareí;214223
352450 Jaci;5890
352460 Jacupiranga;17234
352470 Jaguariúna;46533
352480 Jales;47137
352490 Jambeiro;5554
352500 Jandira;110842
352510 Jardinópolis;38708
352520 Jarinu;24875
352530 Jaú;133900
352540 Jeriquara;3142
352550 Joanópolis;11974
352560 João Ramalho;4197
352570 José Bonifácio;33375
352580 Júlio Mesquita;4470
352585 Jumirim;2889
352590 Jundiaí;377183
352600 Junqueirópolis;18986
352610 Juquiá;19055
352620 Juquitiba;29081
352630 Lagoinha;4824
352640 Laranjal Paulista;25721
352650 Lavínia;9330
352660 Lavrinhas;6678
352670 Leme;93417
352680 Lençóis Paulista;62393
352690 Limeira;280096
352700 Lindóia;6912
352710 Lins;72260
352720 Lorena;83224
352725 Lourdes;2147
352730 Louveira;39122
352740 Lucélia;20119
352750 Lucianópolis;2264
352760 Luís Antônio;11910
352770 Luiziânia;5145
352780 Lupércio;4372
352790 Lutécia;2687
352800 Macatuba;16336
352810 Macaubal;7705
352820 Macedônia;3650
352830 Magda;3167
352840 Mairinque;43714
352850 Mairiporã;84104
352860 Manduri;9101
352870 Marabá Paulista;4981
352880 Maracaí;13382
352885 Marapoama;2693
352890 Mariápolis;3926
352900 Marília;219664
352910 Marinópolis;2101
352920 Martinópolis;24502
352930 Matão;77546
352940 Mauá;425169
352950 Mendonça;4774
352960 Meridiano;3830
352965 Mesópolis;1880
352970 Miguelópolis;20668
352980 Mineiros do Tietê;12133
353000 Mira Estrela;2854
352990 Miracatu;20322
353010 Mirandópolis;27717
353020 Mirante do Paranapanema;17187
353030 Mirassol;54618
353040 Mirassolândia;4379
353050 Mococa;66399
353060 Mogi das Cruzes;396468
353070 Mogi Guaçu;139211
353080 Mogi Mirim;87266
353090 Mombuca;3291
353100 Monções;2144
353110 Mongaguá;47984
353120 Monte Alegre do Sul;7278
353130 Monte Alto;47100
353140 Monte Aprazível;22250
353150 Monte Azul Paulista;18838
353160 Monte Castelo;4060
353180 Monte Mor;50702
353170 Monteiro Lobato;4197
353190 Morro Agudo;29673
353200 Morungaba;12050
353205 Motuca;4354
353210 Murutinga do Sul;4219
353215 Nantes;2774
353220 Narandiba;4371
353230 Natividade da Serra;6637
353240 Nazaré Paulista;16717
353250 Neves Paulista;8752
353260 Nhandeara;10806
353270 Nipoã;4427
353280 Nova Aliança;6061
353282 Nova Campina;8700
353284 Nova Canaã Paulista;2059
353286 Nova Castilho;1146
353290 Nova Europa;9601
353300 Nova Granada;19507
353310 Nova Guataporanga;2191
353320 Nova Independência;3220
353330 Nova Luzitânia;3546
353340 Nova Odessa;52627
353325 Novais;4799
353350 Novo Horizonte;37222
353360 Nuporanga;6894
353370 Ocauçu;4163
353380 Óleo;2625
353390 Olímpia;50630
353400 Onda Verde;3956
353410 Oriente;6141
353420 Orindiúva;5904
353430 Orlândia;40352
353440 Osasco;668877
353450 Oscar Bressane;2535
353460 Osvaldo Cruz;31109
353470 Ourinhos;104420
353480 Ouro Verde;7899
353475 Ouroeste;8725
353490 Pacaembu;13333
353500 Palestina;11346
353510 Palmares Paulista;11312
353520 Palmeira d'Oeste;9473
353530 Palmital;21260
353540 Panorama;14725
353550 Paraguaçu Paulista;42680
353560 Paraibuna;17446
353570 Paraíso;5969
353580 Paranapanema;18155
353590 Paranapuã;3843
353600 Parapuã;10805
353610 Pardinho;5711
353620 Pariquera-Açu;18567
353625 Parisi;2045
353630 Patrocínio Paulista;13240
353640 Paulicéia;6496
353650 Paulínia;86800
353657 Paulistânia;1779
353660 Paulo de Faria;8607
353670 Pederneiras;42235
353680 Pedra Bela;5806
353690 Pedranópolis;2532
353700 Pedregulho;15807
353710 Pedreira;42516
353715 Pedrinhas Paulista;2952
353720 Pedro de Toledo;10358
353730 Penápolis;59096
353740 Pereira Barreto;24953
353750 Pereiras;7640
353760 Peruíbe;61030
353770 Piacatu;5387
353780 Piedade;52447
353790 Pilar do Sul;26778
353800 Pindamonhangaba;150162
353810 Pindorama;15331
353820 Pinhalzinho;13425
353830 Piquerobi;3546
353850 Piquete;13942
353860 Piracaia;25384
353870 Piracicaba;369919
353880 Piraju;28563
353890 Pirajuí;23098
353900 Pirangi;10712
353910 Pirapora do Bom Jesus;16238
353920 Pirapozinho;25086
353930 Pirassununga;70869
353940 Piratininga;12297
353950 Pitangueiras;35934
353960 Planalto;4583
353970 Platina;3242
353980 Poá;107556
353990 Poloni;5489
354000 Pompéia;20235
354010 Pongaí;3449
354020 Pontal;41840
354025 Pontalinda;4155
354030 Pontes Gestal;2515
354040 Populina;4189
354050 Porangaba;8579
354060 Porto Feliz;49404
354070 Porto Ferreira;51999
354075 Potim;20272
354080 Potirendaba;15720
354085 Pracinha;3074
354090 Pradópolis;18052
354100 Praia Grande;272390
354105 Pratânia;4697
354110 Presidente Alves;4094
354120 Presidente Bernardes;13406
354130 Presidente Epitácio;41624
354140 Presidente Prudente;210393
354150 Presidente Venceslau;37996
354160 Promissão;36364
354165 Quadra;3325
354170 Quatá;12972
354180 Queiroz;2905
354190 Queluz;11641
354200 Quintana;6089
354210 Rafard;8651
354220 Rancharia;28809
354230 Redenção da Serra;3847
354240 Regente Feijó;18720
354250 Reginópolis;7713
354260 Registro;54338
354270 Restinga;6739
354280 Ribeira;3336
354290 Ribeirão Bonito;12270
354300 Ribeirão Branco;17822
354310 Ribeirão Corrente;4333
354320 Ribeirão do Sul;4439
354323 Ribeirão dos Índios;2182
354325 Ribeirão Grande;7427
354330 Ribeirão Pires;114361
354340 Ribeirão Preto;619746
354360 Rifaina;3453
354370 Rincão;10427
354380 Rinópolis;9887
354390 Rio Claro;188977
354400 Rio das Pedras;30409
354410 Rio Grande da Serra;45014
354420 Riolândia;10880
354350 Riversul;6008
354425 Rosana;19006
354430 Roseira;9754
354440 Rubiácea;2789
354450 Rubinéia;2900
354460 Sabino;5258
354470 Sagres;2389
354480 Sales;5586
354490 Sales Oliveira;10756
354500 Salesópolis;15828
354510 Salmourão;4881
354515 Saltinho;7250
354520 Salto;107382
354530 Salto de Pirapora;40897
354540 Salto Grande;8839
354550 Sandovalina;3792
354560 Santa Adélia;14467
354570 Santa Albertina;5744
354580 Santa Bárbara d'Oeste;181509
354600 Santa Branca;13877
354610 Santa Clara d'Oeste;2079
354620 Santa Cruz da Conceição;4074
354625 Santa Cruz da Esperança;1977
354630 Santa Cruz das Palmeiras;30593
354640 Santa Cruz do Rio Pardo;44375
354650 Santa Ernestina;5542
354660 Santa Fé do Sul;29651
354670 Santa Gertrudes;22499
354680 Santa Isabel;51467
354690 Santa Lúcia;8308
354700 Santa Maria da Serra;5525
354710 Santa Mercedes;2836
354740 Santa Rita d'Oeste;2521
354750 Santa Rita do Passa Quatro;26530
354760 Santa Rosa de Viterbo;24229
354765 Santa Salete;1458
354720 Santana da Ponte Pensa;1603
354730 Santana de Parnaíba;113945
354770 Santo Anastácio;20434
354780 Santo André;680496
354790 Santo Antônio da Alegria;6386
354800 Santo Antônio de Posse;21032
354805 Santo Antônio do Aracanguá;7732
354810 Santo Antônio do Jardim;5912
354820 Santo Antônio do Pinhal;6510
354830 Santo Expedito;2845
354840 Santópolis do Aguapeí;4347
354850 Santos;419614
354860 São Bento do Sapucaí;10486
354870 São Bernardo do Campo;774886
354880 São Caetano do Sul;150638
354890 São Carlos;226322
354900 São Francisco;2783
354910 São João da Boa Vista;84584
354920 São João das Duas Pontes;2552
354925 São João de Iracema;1797
354930 São João do Pau d'Alho;2092
354940 São Joaquim da Barra;47256
354950 São José da Bela Vista;8456
354960 São José do Barreiro;4068
354970 São José do Rio Pardo;52176
354980 São José do Rio Preto;415769
354990 São José dos Campos;643603
354995 São Lourenço da Serra;14241
355000 São Luís do Paraitinga;10393
355010 São Manuel;38614
355020 São Miguel Arcanjo;31549
355030 São Paulo;11376685
355040 São Pedro;32231
355050 São Pedro do Turvo;7245
355060 São Roque;80661
355070 São Sebastião;76344
355080 São Sebastião da Grama;12046
355090 São Simão;14448
355100 São Vicente;336809
355110 Sarapuí;9212
355120 Sarutaiá;3605
355130 Sebastianópolis do Sul;3105
355140 Serra Azul;11832
355160 Serra Negra;26770
355150 Serrana;39826
355170 Sertãozinho;112401
355180 Sete Barras;12898
355190 Severínia;15788
355200 Silveiras;5855
355210 Socorro;37288
355220 Sorocaba;600692
355230 Sud Mennucci;7446
355240 Sumaré;246247
355255 Suzanápolis;3473
355250 Suzano;267583
355260 Tabapuã;11495
355270 Tabatinga;14943
355280 Taboão da Serra;251608
355290 Taciba;5789
355300 Taguaí;11336
355310 Taiaçu;5936
355320 Taiúva;5439
355330 Tambaú;22429
355340 Tanabi;24277
355350 Tapiraí;7928
355360 Tapiratiba;12707
355365 Taquaral;2727
355370 Taquaritinga;54279
355380 Taquarituba;22338
355385 Taquarivaí;5254
355390 Tarabai;6731
355395 Tarumã;13209
355400 Tatuí;109425
355410 Taubaté;283899
355420 Tejupá;4730
355430 Teodoro Sampaio;21595
355440 Terra Roxa;8619
355450 Tietê;37609
355460 Timburi;2634
355465 Torre de Pedra;2271
355470 Torrinha;9405
355475 Trabiju;1569
355480 Tremembé;41915
355490 Três Fronteiras;5468
355495 Tuiuti;6078
355500 Tupã;63498
355510 Tupi Paulista;14418
355520 Turiúba;1936
355530 Turmalina;1920
355535 Ubarana;5451
355540 Ubatuba;80604
355550 Ubirajara;4468
355560 Uchoa;9537
355570 União Paulista;1636
355580 Urânia;8838
355590 Uru;1228
355600 Urupês;12848
355610 Valentim Gentil;11404
355620 Valinhos;110390
355630 Valparaíso;23181
355635 Vargem;9077
355640 Vargem Grande do Sul;39714
355645 Vargem Grande Paulista;44555
355650 Várzea Paulista;109247
355660 Vera Cruz;10722
355670 Vinhedo;66087
355680 Viradouro;17499
355690 Vista Alegre do Alto;7208
355695 Vitória Brasil;1747
355700 Votorantim;110755
355710 Votuporanga;86059
355715 Zacarias;2394
410010 Abatiá;7690
410020 Adrianópolis;6281
410030 Agudos do Sul;8429
410040 Almirante Tamandaré;105458
410045 Altamira do Paraná;3900
412862 Alto Paraíso;3119
410060 Alto Paraná;13806
410070 Alto Piquiri;10092
410050 Altônia;20711
410080 Alvorada do Sul;10439
410090 Amaporã;5562
410100 Ampére;17563
410105 Anahy;2854
410110 Andirá;20451
410115 Ângulo;2862
410120 Antonina;18849
410130 Antônio Olinto;7343
410140 Apucarana;122896
410150 Arapongas;106978
410160 Arapoti;26153
410165 Arapuã;3469
410170 Araruna;13471
410180 Araucária;122878
410185 Ariranha do Ivaí;2389
410190 Assaí;16099
410200 Assis Chateaubriand;32981
410210 Astorga;24859
410220 Atalaia;3898
410230 Balsa Nova;11539
410240 Bandeirantes;31951
410250 Barbosa Ferraz;12437
410270 Barra do Jacaré;2728
410260 Barracão;9796
410275 Bela Vista da Caroba;3861
410280 Bela Vista do Paraíso;15087
410290 Bituruna;15903
410300 Boa Esperança;4479
410302 Boa Esperança do Iguaçu;2713
410304 Boa Ventura de São Roque;6520
410305 Boa Vista da Aparecida;7834
410310 Bocaiúva do Sul;11280
410315 Bom Jesus do Sul;3742
410320 Bom Sucesso;6620
410322 Bom Sucesso do Sul;3279
410330 Borrazópolis;7641
410335 Braganey;5667
410337 Brasilândia do Sul;3107
410340 Cafeara;2727
410345 Cafelândia;15194
410347 Cafezal do Sul;4236
410350 Califórnia;8129
410360 Cambará;24060
410370 Cambé;98024
410380 Cambira;7319
410390 Campina da Lagoa;15149
410395 Campina do Simão;4033
410400 Campina Grande do Sul;39404
410405 Campo Bonito;4299
410410 Campo do Tenente;7245
410420 Campo Largo;115336
410425 Campo Magro;25513
410430 Campo Mourão;88209
410440 Cândido de Abreu;16332
410442 Candói;15104
410445 Cantagalo;12974
410450 Capanema;18570
410460 Capitão Leônidas Marques;15060
410465 Carambeí;19813
410470 Carlópolis;13767
410480 Cascavel;292372
410490 Castro;67613
410500 Catanduvas;10169
410510 Centenário do Sul;11096
410520 Cerro Azul;17027
410530 Céu Azul;11121
410540 Chopinzinho;19549
410550 Cianorte;71855
410560 Cidade Gaúcha;11294
410570 Clevelândia;17075
410580 Colombo;217443
410590 Colorado;22555
410600 Congonhinhas;8344
410610 Conselheiro Mairinck;3663
410620 Contenda;16292
410630 Corbélia;16389
410640 Cornélio Procópio;46939
410645 Coronel Domingos Soares;7274
410650 Coronel Vivida;21514
410655 Corumbataí do Sul;3860
410680 Cruz Machado;18097
410657 Cruzeiro do Iguaçu;4261
410660 Cruzeiro do Oeste;20446
410670 Cruzeiro do Sul;4534
410685 Cruzmaltina;3118
410690 Curitiba;1776761
410700 Curiúva;14077
410715 Diamante D'Oeste;5050
410710 Diamante do Norte;5428
410712 Diamante do Sul;3488
410720 Dois Vizinhos;36813
410725 Douradina;7640
410730 Doutor Camargo;5836
412863 Doutor Ulysses;5686
410740 Enéas Marques;6061
410750 Engenheiro Beltrão;13880
410753 Entre Rios do Oeste;4017
410752 Esperança Nova;1919
410754 Espigão Alto do Iguaçu;4570
410755 Farol;3398
410760 Faxinal;16421
410765 Fazenda Rio Grande;84514
410770 Fênix;4781
410773 Fernandes Pinheiro;5867
410775 Figueira;8181
410785 Flor da Serra do Sul;4695
410780 Floraí;5015
410790 Floresta;6054
410800 Florestópolis;11076
410810 Flórida;2560
410820 Formosa do Oeste;7358
410830 Foz do Iguaçu;255718
410845 Foz do Jordão;5276
410832 Francisco Alves;6337
410840 Francisco Beltrão;80727
410850 General Carneiro;13635
410855 Godoy Moreira;3262
410860 Goioerê;28908
410865 Goioxim;7415
410870 Grandes Rios;6438
410880 Guaíra;31013
410890 Guairaçá;6243
410895 Guamiranga;8016
410900 Guapirama;3865
410910 Guaporema;2223
410920 Guaraci;5181
410930 Guaraniaçu;14187
410940 Guarapuava;169252
410950 Guaraqueçaba;7809
410960 Guaratuba;32826
410965 Honório Serpa;5813
410970 Ibaiti;29099
410975 Ibema;6096
410980 Ibiporã;49111
410990 Icaraíma;8657
411000 Iguaraçu;4040
411005 Iguatu;2231
411007 Imbaú;11546
411010 Imbituva;29053
411020 Inácio Martins;10940
411030 Inajá;3000
411040 Indianópolis;4313
411050 Ipiranga;14278
411060 Iporã;14760
411065 Iracema do Oeste;2522
411070 Irati;56790
411080 Iretama;10515
411090 Itaguajé;4538
411095 Itaipulândia;9357
411100 Itambaracá;6710
